"ID","Date","Description","Work Time (Formatted)","Work Time (Seconds)","Rest Time (Formatted)","Rest Time (Seconds)","Work Distance","Rest Distance","Stroke Rate/Cadence","Stroke Count","Pace","Avg Watts","Cal/Hour","Total Cal","Avg Heart Rate","Drag Factor","Age","Weight","Type","Ranked","Comments"
"8713196","2008-12-11 00:00:00","5,000m row","""20:00.0""","1200","","","5000","","","","2:00.0","203","997","332","","","32","Hwt","Indoor Rower","No","BBC right (5x 500m/250m 1:50'/500m)"
"8693357","2008-12-10 00:00:00","10,000m row","""40:46.5""","2446.5","","","10000","","","","2:02.3","191","958","651","","","32","Hwt","Indoor Rower","No","BBC right"
"8637204","2008-12-03 00:00:00","5,000m row","""19:15.7""","1155.7","","","5000","","","","1:55.5","227","1080","347","","","32","Hwt","Indoor Rower","No","BBC left"
"8547322","2008-11-18 00:00:00","7,766m row","""30:00.0""","1800","","","7766","","","","1:55.8","225","1073","537","","","32","Hwt","Indoor Rower","Yes","BBC left"
"8517585","2008-11-11 00:00:00","3,000m row","""11:24.7""","684.7","","","3000","","","","1:54.1","236","1110","211","","","32","Hwt","Indoor Rower","No","BBC Left"
"8414893","2008-11-06 00:00:00","1,000m row","""3:26.2""","206.2","","","1000","","","","1:43.1","319","1399","80","","","32","Hwt","Indoor Rower","Yes","BBC left"
"8414892","2008-11-06 00:00:00","3,000m row","""11:50.0""","710","","","3000","","","","1:58.3","211","1026","202","","","32","Hwt","Indoor Rower","No","Warm & cool for 1k"
"8414904","2008-11-05 00:00:00","3,000m row","""11:58.5""","718.5","","","3000","","","","1:59.7","204","1001","200","","","32","Hwt","Indoor Rower","No","BBC right (3x 250m, 1:45/500m)"
"8392503","2008-10-31 00:00:00","2,000m row","""8:02.5""","482.5","","","2000","","","","2:00.6","199","986","132","","","32","Hwt","Indoor Rower","No","Easy row for Skeleton Crew Challenge ;-)"
"8392502","2008-10-31 00:00:00","10,000m row","""38:38.7""","2318.7","","","10000","","","","1:55.9","225","1073","691","","","32","Hwt","Indoor Rower","Yes","BBC (left); 30' 7749m PB"
